metric_date,region,property_type,active_listing_count,leads_count,leads_per_active_listing
2026-02-20,Ile-de-France,apartment,144,66,0.458
2026-02-20,Ile-de-France,house,102,32,0.314
2026-02-20,Ile-de-France,parking,72,7,0.097
2026-02-20,Provence-Alpes-Cote d'Azur,apartment,109,50,0.459
2026-02-20,Provence-Alpes-Cote d'Azur,house,78,24,0.308
2026-02-20,Provence-Alpes-Cote d'Azur,parking,55,5,0.091
2026-02-20,Auvergne-Rhone-Alpes,apartment,104,48,0.462
2026-02-20,Auvergne-Rhone-Alpes,house,73,23,0.315
2026-02-20,Auvergne-Rhone-Alpes,parking,52,5,0.096
2026-02-21,Ile-de-France,apartment,147,68,0.463
2026-02-21,Ile-de-France,house,104,33,0.317
2026-02-21,Ile-de-France,parking,74,7,0.095
2026-02-21,Provence-Alpes-Cote d'Azur,apartment,112,52,0.464
2026-02-21,Provence-Alpes-Cote d'Azur,house,79,25,0.316
2026-02-21,Provence-Alpes-Cote d'Azur,parking,56,5,0.089
2026-02-21,Auvergne-Rhone-Alpes,apartment,106,49,0.462
2026-02-21,Auvergne-Rhone-Alpes,house,75,24,0.32
2026-02-21,Auvergne-Rhone-Alpes,parking,53,5,0.094
2026-02-22,Ile-de-France,apartment,150,70,0.467
2026-02-22,Ile-de-France,house,106,34,0.321
2026-02-22,Ile-de-France,parking,75,8,0.107
2026-02-22,Provence-Alpes-Cote d'Azur,apartment,114,53,0.465
2026-02-22,Provence-Alpes-Cote d'Azur,house,81,26,0.321
2026-02-22,Provence-Alpes-Cote d'Azur,parking,57,5,0.088
2026-02-22,Auvergne-Rhone-Alpes,apartment,108,51,0.472
2026-02-22,Auvergne-Rhone-Alpes,house,76,24,0.316
2026-02-22,Auvergne-Rhone-Alpes,parking,54,5,0.093
2026-02-23,Ile-de-France,apartment,153,72,0.471
2026-02-23,Ile-de-France,house,108,35,0.324
2026-02-23,Ile-de-France,parking,76,8,0.105
2026-02-23,Provence-Alpes-Cote d'Azur,apartment,116,55,0.474
2026-02-23,Provence-Alpes-Cote d'Azur,house,82,27,0.329
2026-02-23,Provence-Alpes-Cote d'Azur,parking,58,6,0.103
2026-02-23,Auvergne-Rhone-Alpes,apartment,110,52,0.473
2026-02-23,Auvergne-Rhone-Alpes,house,78,25,0.321
2026-02-23,Auvergne-Rhone-Alpes,parking,55,5,0.091
2026-02-24,Ile-de-France,apartment,156,75,0.481
2026-02-24,Ile-de-France,house,110,36,0.327
2026-02-24,Ile-de-France,parking,78,8,0.103
2026-02-24,Provence-Alpes-Cote d'Azur,apartment,119,57,0.479
2026-02-24,Provence-Alpes-Cote d'Azur,house,84,27,0.321
2026-02-24,Provence-Alpes-Cote d'Azur,parking,59,6,0.102
2026-02-24,Auvergne-Rhone-Alpes,apartment,112,54,0.482
2026-02-24,Auvergne-Rhone-Alpes,house,80,26,0.325
2026-02-24,Auvergne-Rhone-Alpes,parking,56,5,0.089
2026-02-25,Ile-de-France,apartment,144,77,0.535
2026-02-25,Ile-de-France,house,102,37,0.363
2026-02-25,Ile-de-France,parking,72,9,0.125
2026-02-25,Provence-Alpes-Cote d'Azur,apartment,109,58,0.532
2026-02-25,Provence-Alpes-Cote d'Azur,house,78,28,0.359
2026-02-25,Provence-Alpes-Cote d'Azur,parking,55,6,0.109
2026-02-25,Auvergne-Rhone-Alpes,apartment,104,55,0.529
2026-02-25,Auvergne-Rhone-Alpes,house,73,27,0.37
2026-02-25,Auvergne-Rhone-Alpes,parking,52,6,0.115
2026-02-26,Ile-de-France,apartment,147,79,0.537
2026-02-26,Ile-de-France,house,104,38,0.365
2026-02-26,Ile-de-France,parking,74,9,0.122
2026-02-26,Provence-Alpes-Cote d'Azur,apartment,112,60,0.536
2026-02-26,Provence-Alpes-Cote d'Azur,house,79,29,0.367
2026-02-26,Provence-Alpes-Cote d'Azur,parking,56,6,0.107
2026-02-26,Auvergne-Rhone-Alpes,apartment,106,57,0.538
2026-02-26,Auvergne-Rhone-Alpes,house,75,27,0.36
2026-02-26,Auvergne-Rhone-Alpes,parking,53,6,0.113
2026-02-27,Ile-de-France,apartment,150,66,0.44
2026-02-27,Ile-de-France,house,106,32,0.302
2026-02-27,Ile-de-France,parking,75,7,0.093
2026-02-27,Provence-Alpes-Cote d'Azur,apartment,114,50,0.439
2026-02-27,Provence-Alpes-Cote d'Azur,house,81,24,0.296
2026-02-27,Provence-Alpes-Cote d'Azur,parking,57,5,0.088
2026-02-27,Auvergne-Rhone-Alpes,apartment,108,48,0.444
2026-02-27,Auvergne-Rhone-Alpes,house,76,23,0.303
2026-02-27,Auvergne-Rhone-Alpes,parking,54,5,0.093
2026-02-28,Ile-de-France,apartment,153,68,0.444
2026-02-28,Ile-de-France,house,108,33,0.306
2026-02-28,Ile-de-France,parking,76,7,0.092
2026-02-28,Provence-Alpes-Cote d'Azur,apartment,116,52,0.448
2026-02-28,Provence-Alpes-Cote d'Azur,house,82,25,0.305
2026-02-28,Provence-Alpes-Cote d'Azur,parking,58,5,0.086
2026-02-28,Auvergne-Rhone-Alpes,apartment,110,49,0.445
2026-02-28,Auvergne-Rhone-Alpes,house,78,24,0.308
2026-02-28,Auvergne-Rhone-Alpes,parking,55,5,0.091
2026-03-01,Ile-de-France,apartment,156,70,0.449
2026-03-01,Ile-de-France,house,110,34,0.309
2026-03-01,Ile-de-France,parking,78,8,0.103
2026-03-01,Provence-Alpes-Cote d'Azur,apartment,119,53,0.445
2026-03-01,Provence-Alpes-Cote d'Azur,house,84,26,0.31
2026-03-01,Provence-Alpes-Cote d'Azur,parking,59,5,0.085
2026-03-01,Auvergne-Rhone-Alpes,apartment,112,51,0.455
2026-03-01,Auvergne-Rhone-Alpes,house,80,24,0.3
2026-03-01,Auvergne-Rhone-Alpes,parking,56,5,0.089
2026-03-02,Ile-de-France,apartment,144,72,0.5
2026-03-02,Ile-de-France,house,102,35,0.343
2026-03-02,Ile-de-France,parking,72,8,0.111
2026-03-02,Provence-Alpes-Cote d'Azur,apartment,109,55,0.505
2026-03-02,Provence-Alpes-Cote d'Azur,house,78,27,0.346
2026-03-02,Provence-Alpes-Cote d'Azur,parking,55,6,0.109
2026-03-02,Auvergne-Rhone-Alpes,apartment,104,52,0.5
2026-03-02,Auvergne-Rhone-Alpes,house,73,25,0.342
2026-03-02,Auvergne-Rhone-Alpes,parking,52,5,0.096
2026-03-03,Ile-de-France,apartment,147,75,0.51
2026-03-03,Ile-de-France,house,104,36,0.346
2026-03-03,Ile-de-France,parking,74,8,0.108
2026-03-03,Provence-Alpes-Cote d'Azur,apartment,112,57,0.509
2026-03-03,Provence-Alpes-Cote d'Azur,house,79,27,0.342
2026-03-03,Provence-Alpes-Cote d'Azur,parking,56,6,0.107
2026-03-03,Auvergne-Rhone-Alpes,apartment,106,54,0.509
2026-03-03,Auvergne-Rhone-Alpes,house,75,26,0.347
2026-03-03,Auvergne-Rhone-Alpes,parking,53,5,0.094
2026-03-04,Ile-de-France,apartment,150,77,0.513
2026-03-04,Ile-de-France,house,106,37,0.349
2026-03-04,Ile-de-France,parking,75,9,0.12
2026-03-04,Provence-Alpes-Cote d'Azur,apartment,114,58,0.509
2026-03-04,Provence-Alpes-Cote d'Azur,house,81,28,0.346
2026-03-04,Provence-Alpes-Cote d'Azur,parking,57,6,0.105
2026-03-04,Auvergne-Rhone-Alpes,apartment,108,55,0.509
2026-03-04,Auvergne-Rhone-Alpes,house,76,27,0.355
2026-03-04,Auvergne-Rhone-Alpes,parking,54,6,0.111
2026-03-05,Ile-de-France,apartment,153,79,0.516
2026-03-05,Ile-de-France,house,108,38,0.352
2026-03-05,Ile-de-France,parking,76,9,0.118
2026-03-05,Provence-Alpes-Cote d'Azur,apartment,116,60,0.517
2026-03-05,Provence-Alpes-Cote d'Azur,house,82,29,0.354
2026-03-05,Provence-Alpes-Cote d'Azur,parking,58,6,0.103
2026-03-05,Auvergne-Rhone-Alpes,apartment,110,57,0.518
2026-03-05,Auvergne-Rhone-Alpes,house,78,27,0.346
2026-03-05,Auvergne-Rhone-Alpes,parking,55,6,0.109
2026-03-06,Ile-de-France,apartment,156,66,0.423
2026-03-06,Ile-de-France,house,110,32,0.291
2026-03-06,Ile-de-France,parking,78,7,0.09
2026-03-06,Provence-Alpes-Cote d'Azur,apartment,119,50,0.42
